"","cases_19under","pop_19under","temp_mean","precip_mean","X_COORD","Y_COORD","tempxprecip","log_pop_19under"
"49",0,124,20.7758674621582,132.505249023438,1298773.49481898,1599274.51201198,2752.91149175121,4.82028156560504
"50",0,543,23.4004055023193,168.889750671387,1297935.18608749,1562297.37893924,3952.08865089606,6.29710931993394
"51",0,1,24.6991672515869,162.901672363281,1297791.86689854,1506634.83304965,4023.5356512639,0
"52",0,121,24.7679425441009,148.251547320203,1300610.22671636,1513385.14022769,3671.88580610085,4.79579054559674
"53",0,58,21.6938776221345,155.736138872276,1328225.29243868,1589429.28495527,3378.5207380389,4.06044301054642
"54",0,496,23.869441986084,181.166000366211,1331057.32637582,1569284.07943256,4324.33133559214,6.20657592672493
"55",0,876,24.0229315076556,191.408551897321,1337890.0167474,1566931.95034196,4598.19453220889,6.77536609093639
"56",0,12,24.5747659721418,179.773207400016,1292291.20747683,1509364.50980857,4417.8844999167,2.484906649788
"57",0,1,20.5875466968889,141.6825938321,1297301.53536045,1593273.95844222,2916.8970166547,0
"58",0,1440,20.693948507309,143.980438232422,1313746.78743356,1598410.82691257,2979.52377484152,7.27239839257005
"59",0,751,23.6781129837036,171.677665710449,1341295.41568455,1582594.67426676,4065.00316547052,6.62140565176413
"60",0,577,20.7969711303711,116.613665771484,1255873.9580625,1561536.40661067,2425.2110404563,6.3578422665081
"61",0,339,23.282377243042,156.706964111328,1335403.75446906,1588463.92753265,3648.51065505178,5.82600010738045
"62",0,342,19.5546455383301,148.945519583566,1274465.42391356,1572934.85768311,2912.57683997903,5.8348107370626
"63",0,403,23.1740028858185,158.349996566772,1324821.30508005,1582115.90933019,3669.60327740773,5.99893656194668
"64",0,965,24.1913509368896,195.554284232003,1339634.759646,1549989.41633252,4730.72231706866,6.87212810133899
"65",0,2271,24.2522587776184,178.340625762939,1288406.19961981,1506751.5368701,4325.16300656521,7.72797554210556
"66",0,679,20.4413380622864,125.613084793091,1259875.42461714,1564470.031733,2567.69953130221,6.5206211275587
"67",0,376,20.2807335853577,145.541831970215,1277696.43322692,1588252.28916649,2951.69511971282,5.92958914338989
"68",1,1352,20.161736647288,164.158028920492,1286467.22625248,1577786.17060841,3309.71094763284,7.20934025660291
"69",0,3620,24.0705096504905,190.404241388494,1317755.70178716,1557120.30304253,4583.12712983608,8.19422930481982
"70",0,499,20.0105335235596,121.446064758301,1263788.32610579,1572285.82857161,2430.20055015036,6.21260609575152
"71",0,1218,23.1528790791829,96.0777231852214,1194182.54129409,1489838.453201,2224.47590711064,7.10496544826984
"72",1,58,22.4821001688639,122.111834208171,1110907.7421732,1443240.88801603,2745.3304884718,4.06044301054642
"73",1,5083,22.3229002952576,155.095748901367,1204175.79636177,1463839.45001492,3462.18693894352,8.5336569174469
"74",1,1364,20.0070910983615,149.304491678874,1231624.66630496,1533454.30744941,2987.14856641379,7.21817683840341
"75",1,42,19.3654123942057,152.12722269694,1161066.81990091,1450551.52306689,2946.00640391142,3.73766961828337
"76",0,20,19.9445386614118,196.093784877232,1181445.13561132,1438937.91330342,3911.00007374653,2.99573227355399
"77",1,605,20.5866985321045,143.329019546509,1214272.74478814,1499229.96696288,2950.67131630609,6.40522845803084
"78",6,2081,21.0098203420639,180.738018989563,1227304.5268304,1482271.76635175,3797.27330795125,7.64060382639363
"79",4,3306,21.4432402716743,231.274854024251,1191242.22614793,1429266.31546821,4959.28226363841,8.10349427838097
"80",1,2026,21.7622304396196,125.025235262784,1122273.97659214,1442051.80557277,2720.82798055636,7.61381868480863
"81",1,3540,19.8640051621657,154.212631812462,1221062.21302994,1513124.64384925,3063.28051439391,8.17188200612782
